,carrier,location,date_time,clean_text,fact,emoji,month,hour,sense_dummy,text_len,len_emoji,day,day_of_month,part_of_day,seconds,sin_time,cos_time
0,VerizonSupport,"Pennsylvania, USA",2021-03-30 23:59:19,issue closed caption walking dead show display part,1,[],3,23,-1,51,0,1,30,evening,19,0.0013817185515113562,0.9999990454264666
1,VerizonSupport,,2021-03-30 23:56:55,this could due regional restriction have checked cgs,1,[],3,23,-1,52,0,1,30,evening,55,0.003999702204792417,0.9999920011591458
2,VerizonSupport,,2021-03-30 23:55:30,happy help anything related fios twitter please follow help tjl,0,[],3,23,1,63,0,1,30,evening,30,0.0021816598343367697,0.9999976201773518
3,VerizonSupport,,2021-03-30 23:55:24,know think help literally month trying help the la,1,[],3,23,0,50,0,1,30,evening,24,0.0017453283658983088,0.9999984769132877
4,VerizonSupport,,2021-03-30 23:54:26,happy look please send direct message follow verizonsupport may respond,0,[],3,23,1,71,0,1,30,evening,26,0.0018907722297340735,0.99999821248859
5,VerizonSupport,,2021-03-30 23:53:56,sorry hear experience happy assist way,0,[],3,23,1,38,0,1,30,evening,56,0.004072423664626422,0.9999917076483663
6,VerizonSupport,Ocean County N.J.  Sarasota Fl,2021-03-30 23:52:41,believe mon get together,1,[],3,23,0,24,0,1,30,evening,41,0.002981599721100411,0.9999955550216727
7,VerizonSupport,"ÜT: 40.685844,-73.976786",2021-03-30 23:52:20,why make speaking representative difficult,0,"['🤬', '🤬', '🤬']",3,23,-1,42,3,1,30,evening,20,0.001454440530541535,0.9999989423008122
8,VerizonSupport,,2021-03-30 23:51:39,help our internet went hour ago south orange thanks,1,[],3,23,1,51,0,1,30,evening,39,0.0028361562322398656,0.9999959781008253
9,VerizonSupport,"Stockholm, Sweden",2021-03-30 23:36:59,wanted let know taken people minute figure get free,0,[],3,23,1,51,0,1,30,evening,59,0.004290587913368087,0.9999907953853163
10,VerizonSupport,"Austin, Texas",2021-03-30 23:36:44,like said cut auto payment hell maybe,1,[],3,23,0,37,0,1,30,evening,44,0.0031997648351684022,0.9999948807393964
11,VerizonSupport,"Stockholm, Sweden",2021-03-30 23:36:20,man ordered jetpack dongle guy past weekend day shipping supposed,1,[],3,23,-1,65,0,1,30,evening,20,0.001454440530541535,0.9999989423008122
12,VerizonSupport,,2021-03-30 23:35:45,problem always always happy help cgs,0,[],3,23,1,36,0,1,30,evening,45,0.0032724865065266256,0.9999946454016965
