,user_name,created_at,location,text
0,janet_hearts,2021-03-24 17:49:31,,I’m swapping pranks for thanks 👏 All you gotta do is tweet #GiveThanksNotPranks. Each tweet = $5 to @DonorsChoose from @TMobile.
1,IamVeRoNiCaG,2021-03-24 17:49:25,TX,@TMobile @MLBTV Can't wait 😁
2,ZacCoffman,2021-03-24 17:48:58,"Glen Rock, PA","My favorite promo of the year, still don’t know why we have to wait until Spring Training is over as the cost isn’t… https://t.co/rBx6eJqWCM"
3,csoza213,2021-03-24 17:48:31,,@TMobile @MLBTV Finally! Thank you
4,Hawleywood09,2021-03-24 17:48:14,"Maryland, USA",Can’t wait! https://t.co/zvg6T2Vy15
5,BenjaminSulman,2021-03-24 17:47:54,"Knoxville, TN","RT @arstechnica: Reminder: If you use #TMobile, you have a month to go through some admin to ensure the company doesn't go selling your web…"
6,Nem_esisxx,2021-03-24 17:47:53,"Cross Hill, South Carolina",I’m swapping pranks for thanks 👏 All you gotta do is tweet #GiveThanksNotPranks. Each tweet = $5 to @DonorsChoose from @TMobile.
7,p3k,2021-03-24 17:47:50,Schnarcherklippen,"RT @arstechnica: Reminder: If you use #TMobile, you have a month to go through some admin to ensure the company doesn't go selling your web…"
8,BryceWeiner,2021-03-24 17:47:31,"North Hollywood, CA","RT @arstechnica: Reminder: If you use #TMobile, you have a month to go through some admin to ensure the company doesn't go selling your web…"
9,StuffSomersSays,2021-03-24 17:47:31,Altoona - PSU - DC - Frederick,@TMobile @MLBTV thanks dad
